unique.cellid,unique.drugid
HOP-92,ABT-263
HPAF-II,ABT-263
Hs 172.T,ABT-263
Hs 229.T,ABT-263
Hs 255.T,ABT-263
Hs 281.T,ABT-263
Hs 294T,ABT-263
Hs 343.T,ABT-263
Hs 600.T,ABT-263
Hs 606.T,ABT-263
Hs 611.T,ABT-263
Hs 616.T,ABT-263
Hs 618.T,ABT-263
Hs 675.T,ABT-263
Hs 683,ABT-263
Hs 688(A).T,ABT-263
Hs 695T,ABT-263
Hs 698.T,ABT-263
Hs 706.T,ABT-263
Hs 729,ABT-263
Hs 737.T,ABT-263
Hs 739.T,ABT-263
Hs 742.T,ABT-263
Hs 746T,ABT-263
Hs 766T,ABT-263
Hs 819.T,ABT-263
Hs 821.T,ABT-263
Hs 822.T,ABT-263
Hs 834.T,ABT-263
Hs 839.T,ABT-263
Hs 840.T,ABT-263
Hs 852.T,ABT-263
Hs 863.T,ABT-263
Hs 870.T,ABT-263
Hs 888.T,ABT-263
Hs 895.T,ABT-263
Hs 934.T,ABT-263
Hs 936.T,ABT-263
Hs 939.T,ABT-263
Hs 940.T,ABT-263
Hs 944.T,ABT-263
Hs-578-T,ABT-263
HS-Sultan,ABT-263
HSC-2,ABT-263
HT-1080,ABT-263
HT-115,ABT-263
HT-1197,ABT-263
HT-1376,ABT-263
HT-29,ABT-263
HT-3,ABT-263
HT55,ABT-263
HuH-28,ABT-263
HUH-6-clone5,ABT-263
HuH-7,ABT-263
HuNS1,ABT-263
HuP-T3,ABT-263
HuP-T4,ABT-263
HuT 102,ABT-263
HuT 78,ABT-263
HUTU-80,ABT-263
IGROV-1,ABT-263
IM-95,ABT-263
Ishikawa (Heraklio) 02 ER-,ABT-263
J-RT3-T3-5,ABT-263
JEG-3,ABT-263
JeKo-1,ABT-263
JHH-6,ABT-263
JHOC-5,ABT-263
JHOM-1,ABT-263
JHOS-4,ABT-263
JHUEM-2,ABT-263
JIMT-1,ABT-263
Jiyoye P-2003,ABT-263
JM1,ABT-263
Jurkat Clone E6-1,ABT-263
JVM-3,ABT-263
K-562,ABT-263
K052,ABT-263
KASUMI-1,ABT-263
KASUMI-2,ABT-263
KATOIII,ABT-263
KE-97,ABT-263
KG-1,ABT-263
KHOS-240S,ABT-263
KM12,ABT-263
KMBC-2,ABT-263
KMS-11,ABT-263
KNS-62,ABT-263
KNS-81-FD,ABT-263
KP-3,ABT-263
KP-4,ABT-263
KP-N-S19s,ABT-263
KPL-1,ABT-263
KYSE-140,ABT-263
KYSE-30,ABT-263
KYSE-410,ABT-263
KYSE-450,ABT-263
L-428,ABT-263
LC-1/sq-SF,ABT-263
LCLC-103H,ABT-263
LCLC-97TM1,ABT-263
LN-229,ABT-263
LNCaP-Clone-FGC,ABT-263
LOUCY,ABT-263
LoVo,ABT-263
LOXIMVI,ABT-263
LP-1,ABT-263
LS 180,ABT-263
LS-1034,ABT-263
LS-123,ABT-263
LS-174T,ABT-263
LS-411N,ABT-263
